FILE,w(Genre),w(Historical),w(Interior),w(Landscape),w(Mythological),w(Portrait),w(Religious),w(StillLife),w(Study),EXPECTED,PREDICTED
rawdata/art/types/test/Genre/03141-sewing.jpg,0.9639,0.0011,0.0024,0.0079,0.0010,0.9980,0.0000,0.0026,0.0014,Genre,Portrait
rawdata/art/types/test/Genre/03173-spicesho.jpg,0.0135,0.0003,0.0006,0.0001,0.0000,0.1178,0.0970,0.2579,0.0001,Genre,StillLife
rawdata/art/types/test/Genre/04578-pendant2.jpg,0.8318,0.0004,0.0007,0.0001,0.0266,0.0480,0.6561,0.0001,0.0002,Genre,Genre
rawdata/art/types/test/Genre/04579-playlute.jpg,0.3713,0.0013,0.0023,0.0014,0.0033,0.9891,0.0005,0.0007,0.0013,Genre,Portrait
rawdata/art/types/test/Genre/04586-young_gi.jpg,0.9982,0.0010,0.0027,0.0036,0.0170,0.3144,0.0010,0.0000,0.0009,Genre,Genre
rawdata/art/types/test/Genre/05197-09folly.jpg,0.9925,0.0001,0.0004,0.0003,0.0000,0.0002,0.9352,0.0000,0.0000,Genre,Genre
rawdata/art/types/test/Genre/05199-11magici.jpg,0.9997,0.0001,0.0002,0.0000,0.0000,0.0000,0.9952,0.0004,0.0000,Genre,Genre
rawdata/art/types/test/Genre/05412-hunting.jpg,1.0000,0.0004,0.0011,0.0009,0.0002,0.0005,0.0006,0.0008,0.0003,Genre,Genre
rawdata/art/types/test/Genre/06087-taylor_s.jpg,0.5546,0.0003,0.0013,0.0143,0.0000,0.4990,0.0130,0.0001,0.0002,Genre,Genre
rawdata/art/types/test/Genre/06288-backoper.jpg,1.0000,0.0006,0.0011,0.0001,0.0007,0.0148,0.0025,0.0007,0.0003,Genre,Genre
rawdata/art/types/test/Genre/06485-01weddin.jpg,0.9986,0.0002,0.0004,0.0000,0.0000,0.0000,0.9767,0.0001,0.0000,Genre,Genre
rawdata/art/types/test/Genre/06660-panel3.jpg,0.9987,0.0000,0.0001,0.0019,0.0000,0.0000,0.9637,0.0000,0.0000,Genre,Genre
rawdata/art/types/test/Genre/06663-peasantd.jpg,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9993,0.0006,0.0000,Genre,Genre
rawdata/art/types/test/Genre/06682-v_lawyer.jpg,0.2383,0.0000,0.0001,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,Genre,Religious
rawdata/art/types/test/Genre/06685-villagef.jpg,0.5338,0.0002,0.0006,0.1867,0.0001,0.0002,0.0850,0.0005,0.0002,Genre,Genre
rawdata/art/types/test/Genre/06918-elegantw.jpg,0.0121,0.0002,0.0014,0.0001,0.0001,0.9380,0.1114,0.0002,0.0002,Genre,Portrait
rawdata/art/types/test/Genre/08106-caress.jpg,0.8998,0.0003,0.0011,0.0000,0.0002,0.9992,0.0005,0.0002,0.0004,Genre,Portrait
rawdata/art/types/test/Genre/08439-pillow.jpg,1.0000,0.0008,0.0023,0.0004,0.0000,0.0083,0.0017,0.0006,0.0005,Genre,Genre
rawdata/art/types/test/Genre/08653-071sketc.jpg,0.9533,0.0012,0.0046,0.0013,0.0003,0.9747,0.0014,0.0107,0.0009,Genre,Portrait
rawdata/art/types/test/Genre/08667-01soap.jpg,1.0000,0.0008,0.0009,0.0001,0.0002,0.0016,0.0018,0.0300,0.0003,Genre,Genre
rawdata/art/types/test/Genre/08673-04racket.jpg,1.0000,0.0002,0.0012,0.0004,0.0011,0.0389,0.0005,0.0009,0.0003,Genre,Genre
rawdata/art/types/test/Genre/09847-courb110.jpg,0.9930,0.0008,0.0033,0.0003,0.0007,0.0017,0.0763,0.4656,0.0008,Genre,Genre
rawdata/art/types/test/Genre/09848-courb111.jpg,0.0091,0.0004,0.0022,0.0009,0.0250,0.0006,0.9901,0.0022,0.0002,Genre,Religious
rawdata/art/types/test/Genre/10061-officer.jpg,0.2749,0.0001,0.0005,0.0379,0.0002,0.0000,1.0000,0.0000,0.0000,Genre,Religious
rawdata/art/types/test/Genre/10751-mormons.jpg,0.9989,0.0009,0.0026,0.0008,0.1650,0.0168,0.0286,0.0002,0.0008,Genre,Genre
rawdata/art/types/test/Genre/11201-1880s_20.jpg,0.9755,0.0009,0.0029,0.0048,0.3033,0.0022,0.8950,0.0000,0.0005,Genre,Genre
rawdata/art/types/test/Genre/11381-conversa.jpg,0.3787,0.0003,0.0037,0.0024,0.0002,0.9210,0.0003,0.0004,0.0002,Genre,Portrait
rawdata/art/types/test/Genre/12113-children.jpg,0.9969,0.0003,0.0007,0.0000,0.0004,0.0718,0.3471,0.0001,0.0002,Genre,Genre
rawdata/art/types/test/Genre/12466-cardplay.jpg,1.0000,0.0001,0.0002,0.0000,0.0000,0.0006,0.1305,0.0001,0.0000,Genre,Genre
rawdata/art/types/test/Genre/12469-musicmak.jpg,0.3258,0.0009,0.0019,0.0001,0.0002,0.1497,0.1202,0.0442,0.0005,Genre,Genre
rawdata/art/types/test/Genre/17002-nuenen17.jpg,0.0167,0.0060,0.0098,0.8174,0.1437,0.0026,0.0358,0.3317,0.0031,Genre,Landscape
rawdata/art/types/test/Genre/19107-16laughi.jpg,0.0241,0.0002,0.0004,0.0021,0.0007,0.9994,0.0003,0.0002,0.0002,Genre,Portrait
rawdata/art/types/test/Genre/19792-elect01.jpg,0.5372,0.0002,0.0009,0.0000,0.0002,0.0000,0.8780,0.1349,0.0001,Genre,Religious
rawdata/art/types/test/Genre/20083-11hooch.jpg,0.9986,0.0005,0.0034,0.0000,0.0000,0.0108,0.3382,0.0001,0.0004,Genre,Genre
rawdata/art/types/test/Genre/20118-49hoock.jpg,1.0000,0.0001,0.0011,0.0000,0.0000,0.0007,0.4603,0.0002,0.0001,Genre,Genre
rawdata/art/types/test/Genre/20578-company5.jpg,0.9981,0.0003,0.0018,0.0113,0.9661,0.0007,0.0276,0.0000,0.0002,Genre,Genre
rawdata/art/types/test/Genre/20579-company6.jpg,0.8467,0.0003,0.0008,0.0079,0.2627,0.0008,0.5859,0.0000,0.0002,Genre,Genre
rawdata/art/types/test/Genre/20590-banquet.jpg,1.0000,0.0003,0.0018,0.0080,0.0002,0.0010,0.0047,0.0001,0.0003,Genre,Genre
rawdata/art/types/test/Genre/21435-fetewood.jpg,0.8117,0.0006,0.0009,0.2140,0.0428,0.0002,0.0141,0.0026,0.0004,Genre,Genre
rawdata/art/types/test/Genre/21820-guitar.jpg,0.9978,0.0004,0.0015,0.0001,0.0018,0.0006,0.0427,0.0918,0.0003,Genre,Genre
rawdata/art/types/test/Genre/21851-morning1.jpg,0.2421,0.0028,0.0057,0.0011,0.6554,0.1326,0.0761,0.0036,0.0009,Genre,Mythological
rawdata/art/types/test/Genre/22311-02beerga.jpg,0.9920,0.0009,0.0055,0.0307,0.0023,0.0029,0.0586,0.0007,0.0006,Genre,Genre
rawdata/art/types/test/Genre/22314-1field.jpg,0.9987,0.0000,0.0001,0.0066,0.0000,0.0004,0.4773,0.0000,0.0000,Genre,Genre
rawdata/art/types/test/Genre/22942-09ridott.jpg,0.9969,0.0001,0.0006,0.0000,0.0000,0.0158,0.0010,0.9170,0.0002,Genre,Genre
rawdata/art/types/test/Genre/22958-25confes.jpg,0.9976,0.0004,0.0010,0.0000,0.0000,0.2139,0.0975,0.0013,0.0002,Genre,Genre
rawdata/art/types/test/Genre/23922-tavern.jpg,0.9999,0.0001,0.0002,0.0002,0.0047,0.0000,0.6665,0.0223,0.0001,Genre,Genre
rawdata/art/types/test/Genre/24749-concert.jpg,0.0039,0.0000,0.0001,0.0000,0.0000,0.0000,1.0000,0.0283,0.0000,Genre,Religious
rawdata/art/types/test/Genre/26346-composin.jpg,0.9905,0.0002,0.0009,0.0000,0.0000,0.5580,0.0250,0.0000,0.0002,Genre,Genre
rawdata/art/types/test/Genre/26359-woman_ma.jpg,0.9898,0.0003,0.0006,0.0000,0.0001,0.6332,0.2344,0.0001,0.0001,Genre,Genre
rawdata/art/types/test/Genre/26380-puddlers.jpg,0.0284,0.0001,0.0002,0.4371,0.0005,0.0298,0.3346,0.0002,0.0000,Genre,Landscape
rawdata/art/types/test/Genre/27048-dance.jpg,0.9995,0.0006,0.0018,0.0601,0.2741,0.0000,0.0944,0.0000,0.0006,Genre,Genre
rawdata/art/types/test/Genre/27081-oyster_e.jpg,1.0000,0.0007,0.0014,0.0000,0.0000,0.0699,0.0066,0.0001,0.0002,Genre,Genre
rawdata/art/types/test/Genre/28491-village2.jpg,0.1906,0.0006,0.0021,0.5304,0.9857,0.0000,0.2698,0.0001,0.0003,Genre,Mythological
rawdata/art/types/test/Genre/29311-painter.jpg,0.7256,0.0013,0.0039,0.0000,0.0003,0.5862,0.0479,0.0678,0.0008,Genre,Genre
rawdata/art/types/test/Genre/29433-peasants.jpg,1.0000,0.0007,0.0017,0.0107,0.0057,0.0004,0.0086,0.0001,0.0005,Genre,Genre
rawdata/art/types/test/Genre/29494-fainting.jpg,0.9990,0.0014,0.0036,0.0087,0.0013,0.0301,0.0041,0.0006,0.0010,Genre,Genre
rawdata/art/types/test/Genre/29917-interior.jpg,0.9950,0.0011,0.0047,0.0234,0.0001,0.0033,0.2604,0.0002,0.0004,Genre,Genre
rawdata/art/types/test/Genre/30134-company.jpg,0.9997,0.0007,0.0029,0.0006,0.0002,0.1890,0.0003,0.0035,0.0007,Genre,Genre
rawdata/art/types/test/Genre/30142-musical1.jpg,1.0000,0.0009,0.0035,0.0000,0.0140,0.1167,0.0003,0.0082,0.0009,Genre,Genre
rawdata/art/types/test/Genre/31008-shepher.jpg,1.0000,0.0005,0.0009,0.0029,0.1021,0.0005,0.0100,0.0001,0.0003,Genre,Genre
rawdata/art/types/test/Genre/31747-10figure.jpg,0.7995,0.0004,0.0014,0.4132,0.0086,0.0000,0.5370,0.0002,0.0002,Genre,Genre
rawdata/art/types/test/Genre/32147-the_bull.jpg,0.1189,0.0055,0.0087,0.9962,0.0242,0.0154,0.0006,0.0073,0.0042,Genre,Landscape
rawdata/art/types/test/Genre/32150-y_bull.jpg,0.0454,0.0079,0.0154,0.9845,0.6289,0.0390,0.0025,0.0098,0.0056,Genre,Landscape
rawdata/art/types/test/Genre/34032-2renoi13.jpg,0.9998,0.0002,0.0004,0.0088,0.0002,0.0023,0.0104,0.0001,0.0001,Genre,Genre
rawdata/art/types/test/Genre/34460-16rippl.jpg,0.9888,0.0038,0.0176,0.0118,0.0026,0.0112,0.0104,0.0097,0.0022,Genre,Genre
rawdata/art/types/test/Genre/35706-hunt.jpg,0.0000,0.0001,0.0002,1.0000,0.0000,0.0003,0.0060,0.0000,0.0000,Genre,Landscape
rawdata/art/types/test/Genre/36142-february.jpg,0.6484,0.0014,0.0020,0.0006,0.1458,0.0057,0.0724,0.3141,0.0011,Genre,Genre
rawdata/art/types/test/Genre/37681-luteplay.jpg,1.0000,0.0002,0.0007,0.0001,0.0003,0.0000,0.0051,0.7924,0.0001,Genre,Genre
rawdata/art/types/test/Genre/37933-celtwin.jpg,0.9999,0.0005,0.0020,0.0013,0.0000,0.0020,0.0901,0.0000,0.0004,Genre,Genre
rawdata/art/types/test/Genre/37951-kolfspel.jpg,0.6569,0.0007,0.0016,0.9982,0.0002,0.0003,0.0010,0.0000,0.0005,Genre,Landscape
rawdata/art/types/test/Genre/38430-6boating.jpg,0.3453,0.0006,0.0013,0.0157,0.9987,0.0005,0.6376,0.0005,0.0005,Genre,Mythological
rawdata/art/types/test/Genre/38561-cobbler.jpg,0.9999,0.0013,0.0023,0.0007,0.0001,0.6258,0.0011,0.0006,0.0007,Genre,Genre
rawdata/art/types/test/Genre/38597-guardrox.jpg,1.0000,0.0003,0.0011,0.0498,0.0000,0.0000,0.0075,0.0002,0.0002,Genre,Genre
rawdata/art/types/test/Genre/38600-kermis.jpg,0.3030,0.0001,0.0007,0.9994,0.0000,0.0007,0.0002,0.0000,0.0001,Genre,Landscape
rawdata/art/types/test/Genre/38602-kermis2.jpg,0.9992,0.0001,0.0010,0.0368,0.0000,0.0000,0.0487,0.0000,0.0001,Genre,Genre
rawdata/art/types/test/Genre/38614-revelle1.jpg,1.0000,0.0001,0.0003,0.1773,0.0000,0.0002,0.0002,0.0000,0.0001,Genre,Genre
rawdata/art/types/test/Genre/38632-bp_advic.jpg,0.9946,0.0006,0.0016,0.0010,0.0000,0.8174,0.0002,0.0008,0.0005,Genre,Genre
rawdata/art/types/test/Genre/38716-girlhold.jpg,0.9146,0.0009,0.0030,0.0001,0.5889,0.8850,0.0013,0.0024,0.0007,Genre,Genre
rawdata/art/types/test/Genre/38722-unequal.jpg,0.9894,0.0010,0.0016,0.0001,0.2759,0.0007,0.9546,0.0000,0.0003,Genre,Genre
rawdata/art/types/test/Genre/39170-09valma.jpg,0.0167,0.0012,0.0049,0.7947,0.8054,0.0001,0.2405,0.0016,0.0005,Genre,Mythological
rawdata/art/types/test/Genre/39173-10valmar.jpg,0.7812,0.0001,0.0009,0.1555,0.8271,0.0000,0.1315,0.0000,0.0001,Genre,Mythological
rawdata/art/types/test/Genre/39541-badnews2.jpg,0.9765,0.0009,0.0054,0.0019,0.0013,0.9493,0.0000,0.0094,0.0013,Genre,Genre
rawdata/art/types/test/Genre/39994-3redhea4.jpg,0.6443,0.0001,0.0007,0.0006,0.0461,0.9085,0.0062,0.0001,0.0001,Genre,Portrait
rawdata/art/types/test/Genre/42435-scene1.jpg,0.0246,0.0000,0.0001,0.0005,0.0000,0.1528,0.9982,0.0000,0.0000,Genre,Religious
rawdata/art/types/test/Genre/42523-elegant.jpg,0.9973,0.0027,0.0048,0.0149,0.0280,0.9674,0.0001,0.0006,0.0021,Genre,Genre
rawdata/art/types/test/Genre/42742-racehors.jpg,0.0431,0.0009,0.0039,0.0543,0.5187,0.0718,0.0747,0.0046,0.0010,Genre,Mythological
rawdata/art/types/test/Genre/42748-buff1.jpg,0.1764,0.0003,0.0009,0.9107,0.0811,0.0000,0.6594,0.0000,0.0001,Genre,Landscape
rawdata/art/types/test/Genre/43243-elegant.jpg,0.0650,0.0002,0.0014,0.9054,0.5493,0.0000,0.0312,0.0001,0.0001,Genre,Landscape
rawdata/art/types/test/Genre/43820-musicia2.jpg,1.0000,0.0003,0.0011,0.0334,0.1499,0.0138,0.0000,0.0000,0.0003,Genre,Genre
rawdata/art/types/test/Historical/00370-5battle.jpg,0.0000,0.0002,0.0003,0.9528,0.0010,0.0064,0.2641,0.0003,0.0001,Historical,Landscape
rawdata/art/types/test/Historical/00518-capture.jpg,0.0011,0.0002,0.0007,0.9999,0.0001,0.0019,0.0000,0.0024,0.0002,Historical,Landscape
